Ticket_ID,Issue_Category,Priority,Resolution_Time,Engineer_Cost,Client_Type,Escalation_Count,Customer_Rating
100231,Email,Medium,2.89,71,Medium,2,4.5
100232,Hardware,Medium,11.94,59,Medium,2,2.7
100233,Network,High,7.0,25,Enterprise,2,4.5
100234,Database,Low,,84,Enterprise,2,3.3
100235,Email,High,6.93,77,Medium,0,2.5
100236,Email,Low,0.53,79,Medium,3,4.2
100237,Hardware,Critical,4.33,43,Enterprise,0,4.0
100238,Email,Medium,10.87,24,Enterprise,1,3.6
100239,Email,Low,4.32,69,Small,3,3.9
100240,Email,High,,38,Small,3,4.3
100241,Hardware,Critical,0.95,70,Small,2,4.9
100242,Security,Low,4.64,25,Small,2,3.7
100243,Security,Medium,8.01,89,Small,2,4.2
100244,Database,Medium,1.02,97,Enterprise,0,3.9
100245,Security,Medium,3.16,25,Small,0,2.8
100246,Email,Low,,44,Small,3,4.1
100247,Software,Medium,1.38,79,Enterprise,2,4.0
100248,Hardware,High,7.82,55,Small,0,3.0
100249,Network,Low,,28,Medium,3,3.7
100250,Email,Low,6.86,81,Small,2,3.4
100251,Email,Low,7.57,56,Small,0,4.6
100252,Software,High,,43,Medium,2,4.2
100253,Database,High,,42,Small,2,3.9
100254,Database,Critical,6.71,89,Small,3,3.3
100255,Email,Critical,9.51,92,Enterprise,2,3.5
100256,Network,High,10.52,65,Small,0,3.5
100257,Hardware,Low,1.27,29,Small,2,4.4
100258,Security,High,5.15,98,Small,3,2.6
100259,Database,High,11.6,83,Small,1,4.4
100260,Security,High,,45,Small,1,4.7
100261,Hardware,High,0.64,42,Small,2,3.5
100262,Security,Critical,1.64,77,Medium,2,3.3
100263,Software,Low,1.32,63,Small,3,2.6
100264,Network,Low,,55,Medium,0,2.7
100265,Email,Low,8.9,92,Enterprise,2,2.7
100266,Software,Low,,70,Small,1,5.0
100267,Network,Medium,4.41,93,Small,1,3.8
100268,Database,Medium,,64,Enterprise,0,3.0
100269,Hardware,Critical,11.45,22,Enterprise,3,4.8
100270,Network,High,5.16,98,Enterprise,2,3.4
100271,Hardware,Critical,11.99,59,Small,2,2.9
100272,Security,High,10.91,56,Small,2,4.4
100273,Database,Low,8.52,51,Small,0,4.2
100274,Software,Medium,2.83,87,Small,0,4.3
100275,Email,Medium,,93,Small,2,3.3
100276,Software,Low,6.24,48,Small,1,3.0
100277,Network,Medium,1.13,42,Small,1,4.5
100278,Software,Low,7.09,89,Small,0,4.0
100279,Software,Low,5.2,92,Medium,2,4.0
100280,Email,Medium,9.79,20,Small,3,2.9
100281,Network,Low,5.89,93,Small,3,2.7
100282,Software,High,6.42,23,Medium,1,4.4
100283,Email,Medium,1.41,93,Medium,2,4.5
100284,Software,Medium,2.85,93,Small,1,3.7
100285,Database,Medium,6.69,75,Enterprise,0,2.7
100286,Security,Medium,4.44,82,Medium,0,4.6
100287,Database,High,,91,Enterprise,1,3.0
100288,Email,Low,2.51,70,Small,1,3.4
100289,Hardware,Critical,2.66,93,Small,2,4.7
100290,Software,Medium,4.0,48,Enterprise,2,4.4
100291,Security,Medium,,46,Small,1,4.4
100292,Email,Low,,30,Small,2,2.8
100293,Network,Low,,99,Medium,2,3.8
100294,Database,Low,2.16,39,Medium,2,3.7
100295,Database,Medium,8.61,86,Medium,3,4.1
100296,Hardware,Low,7.29,76,Small,3,3.2
100297,Security,Critical,10.64,45,Small,3,4.7
100298,Email,Low,10.77,71,Small,1,2.8
100299,Security,Low,5.46,50,Small,3,2.7
100300,Network,Medium,7.91,22,Small,3,3.2
100301,Network,Medium,3.87,76,Small,3,4.5
100302,Network,Medium,2.63,85,Small,2,3.2
100303,Email,Medium,0.69,71,Small,2,4.1
100304,Hardware,High,,54,Small,0,5.0
100305,Security,Low,,58,Small,0,2.5
100306,Hardware,Medium,10.39,54,Medium,1,3.6
100307,Software,Critical,6.28,87,Small,2,2.7
100308,Hardware,Critical,3.6,55,Small,0,2.5
100309,Hardware,Medium,6.66,42,Small,0,4.9
100310,Software,Low,10.05,29,Enterprise,2,4.2
100311,Software,Low,6.49,58,Small,2,4.2
100312,Hardware,Low,,75,Enterprise,3,4.1
100313,Network,High,3.01,41,Small,2,4.5
100314,Network,Low,5.38,37,Small,1,3.8
100315,Hardware,High,4.67,52,Enterprise,0,4.4
100316,Network,Medium,,77,Small,2,4.5
100317,Software,Low,,67,Enterprise,0,3.0
100318,Email,Medium,11.65,64,Enterprise,2,4.1
100319,Software,Critical,,97,Small,3,2.5
100320,Security,Low,4.4,80,Small,1,3.7
100321,Software,Critical,4.59,37,Enterprise,1,3.5
100322,Security,High,,38,Medium,1,3.0
100323,Database,Medium,9.48,38,Small,3,3.5
100324,Network,Low,,99,Medium,1,4.1
100325,Hardware,High,3.63,72,Small,0,4.4
100326,Security,Medium,8.83,80,Small,3,3.7
100327,Security,Medium,5.23,81,Medium,3,4.6
100328,Security,High,4.82,45,Enterprise,1,4.7
100329,Security,Low,8.72,88,Medium,1,3.6
100330,Network,Medium,3.55,32,Enterprise,0,4.6
100331,Hardware,High,,73,Enterprise,2,3.1
100332,Network,Medium,2.04,97,Enterprise,2,2.9
100333,Hardware,Critical,8.59,39,Enterprise,0,4.7
100334,Network,Low,,46,Enterprise,1,3.6
100335,Email,Medium,,86,Enterprise,3,4.1
100336,Security,High,,27,Medium,0,4.7
100337,Software,Low,6.68,38,Small,0,3.4
100338,Network,Medium,1.62,35,Small,2,4.6
100339,Network,Low,0.92,97,Small,1,4.1
100340,Hardware,High,6.63,26,Medium,1,4.0
100341,Email,Medium,10.21,61,Medium,3,4.7
100342,Hardware,Medium,5.65,88,Small,0,4.4
100343,Email,Medium,8.3,35,Enterprise,3,4.8
100344,Database,Medium,7.39,46,Medium,1,4.5
100345,Security,High,1.4,75,Medium,2,2.9
100346,Software,Medium,6.42,57,Enterprise,0,3.1
100347,Network,Medium,,61,Medium,2,3.3
100348,Email,High,,78,Medium,3,4.8
100349,Database,Medium,10.59,98,Enterprise,2,4.0
100350,Security,Low,,39,Enterprise,2,3.7
100351,Network,High,9.73,24,Small,1,4.5
100352,Email,Medium,10.18,75,Medium,1,4.8
100353,Security,Medium,1.51,23,Medium,0,2.9
100354,Network,Low,,75,Medium,3,3.9
100355,Email,Low,4.41,30,Small,1,2.7
100356,Security,High,7.06,71,Small,3,2.5
100357,Database,Medium,6.78,61,Small,1,2.8
100358,Software,High,8.85,62,Medium,3,3.6
100359,Security,Critical,3.43,58,Small,1,4.5
100360,Hardware,Medium,4.25,68,Medium,1,4.2
100361,Database,Low,,54,Medium,2,4.9
100362,Security,Low,6.14,65,Medium,1,3.1
100363,Security,Medium,7.94,84,Medium,3,2.7
100364,Software,Critical,8.31,32,Small,0,3.7
100365,Security,Critical,9.66,34,Small,0,2.5
100366,Software,Medium,6.68,80,Small,3,4.1
100367,Software,Medium,7.65,98,Small,1,4.5
100368,Database,Medium,,75,Enterprise,3,4.0
100369,Email,High,2.15,33,Medium,0,5.0
100370,Network,Low,9.66,56,Small,3,4.2
100371,Database,High,5.07,46,Small,0,4.8
100372,Email,Low,5.91,52,Medium,0,4.9
100373,Email,Low,4.84,84,Small,0,3.5
100374,Database,Low,1.71,78,Small,1,4.5
100375,Security,Medium,7.45,88,Enterprise,3,3.6
100376,Security,Low,9.34,70,Medium,3,2.5
100377,Network,Low,,96,Small,3,4.3
100378,Email,Low,7.06,32,Enterprise,3,4.2
100379,Software,Low,7.47,21,Medium,1,4.3
100380,Email,High,,42,Medium,2,2.8
100381,Software,Low,6.49,51,Enterprise,3,4.6
100382,Security,High,,69,Medium,3,3.6
100383,Email,Low,11.46,53,Small,2,3.3
100384,Database,Medium,2.16,26,Small,1,4.4
100385,Security,Low,11.59,98,Small,1,3.5
100386,Database,High,6.08,92,Small,1,3.7
100387,Database,Medium,2.91,51,Enterprise,2,3.1
100388,Email,High,6.36,81,Medium,0,4.6
100389,Software,Medium,,78,Enterprise,3,3.1
100390,Database,Low,10.88,24,Small,3,4.4
100391,Database,High,6.3,43,Small,1,3.6
100392,Database,High,2.01,62,Medium,0,3.2
100393,Database,Low,0.55,96,Small,2,4.2
100394,Software,Critical,,76,Medium,2,3.6
100395,Database,Medium,,98,Medium,0,3.4
100396,Software,Low,1.23,47,Enterprise,0,3.3
100397,Security,Medium,3.76,56,Small,2,3.0
100398,Email,High,8.23,24,Small,3,3.4
100399,Software,Low,6.42,69,Small,3,4.4
100400,Database,Low,0.6,58,Small,0,3.0
100401,Security,Critical,,61,Small,3,4.2
100402,Software,Low,9.11,82,Small,1,4.7
100403,Security,Low,4.69,25,Small,1,3.5
100404,Database,High,8.6,61,Small,3,4.1
100405,Hardware,Medium,7.0,98,Small,1,3.4
100406,Database,Low,7.81,54,Enterprise,0,4.8
100407,Network,Low,8.37,99,Small,3,3.5
100408,Email,High,4.25,30,Medium,0,4.3
100409,Hardware,High,,71,Small,0,3.2
100410,Email,High,2.45,63,Small,3,3.0
100411,Database,Low,,85,Medium,1,4.9
100412,Security,Low,2.61,82,Enterprise,0,3.7
100413,Hardware,Medium,8.35,46,Enterprise,2,4.2
100414,Security,Low,8.32,49,Enterprise,3,3.8
100415,Software,Critical,10.19,28,Enterprise,0,3.0
100416,Network,Medium,10.88,82,Small,0,4.4
100417,Security,Medium,,29,Medium,1,4.2
100418,Software,High,11.09,56,Small,3,2.9
100419,Hardware,Critical,5.25,38,Small,0,3.7
100420,Network,High,3.62,63,Medium,1,2.6
100421,Security,High,5.61,43,Small,2,4.5
100422,Email,Low,7.75,47,Small,1,2.8
100423,Software,Medium,5.77,49,Small,2,4.0
100424,Network,Medium,1.61,61,Small,1,3.8
100425,Software,Low,1.93,75,Small,1,3.9
100426,Database,Low,0.69,41,Enterprise,2,2.8
100427,Security,Low,6.96,94,Small,0,4.6
100428,Network,High,,37,Small,1,3.8
100429,Software,Low,7.19,67,Small,2,4.1
100430,Security,Medium,3.2,86,Medium,3,4.8
100431,Security,Low,4.14,83,Medium,2,2.9
100432,Hardware,Medium,7.61,28,Medium,1,3.8
100433,Security,High,7.96,98,Enterprise,2,3.1
100434,Database,Low,8.63,75,Enterprise,0,3.4
100435,Database,Low,5.38,95,Small,1,3.8
100436,Database,Medium,11.43,64,Enterprise,3,3.6
100437,Database,Medium,5.54,39,Medium,1,4.1
100438,Network,Medium,1.47,84,Small,3,3.4
100439,Email,Medium,7.74,25,Small,0,3.1
100440,Database,Low,,27,Medium,2,3.3
100441,Network,Low,,66,Enterprise,1,4.8
100442,Software,Low,9.48,48,Medium,2,3.8
100443,Security,Low,2.48,61,Small,1,4.2
100444,Hardware,Medium,6.92,21,Medium,1,3.4
100445,Hardware,Critical,0.96,83,Small,0,3.8
100446,Database,High,0.61,72,Medium,2,3.7
100447,Security,High,5.33,40,Enterprise,0,4.6
100448,Hardware,Medium,,66,Small,2,2.5
100449,Database,Medium,0.58,64,Medium,3,3.3
100450,Software,High,8.63,41,Medium,2,4.5
100451,Hardware,Medium,,70,Enterprise,3,3.3
100452,Database,High,8.06,45,Small,3,3.0
100453,Hardware,Low,3.59,45,Small,1,4.3
100454,Network,Low,,67,Medium,0,3.3
100455,Database,Low,9.59,60,Enterprise,2,2.8
100456,Hardware,High,7.64,31,Small,2,3.6
100457,Email,High,2.88,38,Small,0,3.3
100458,Database,Low,,27,Enterprise,2,4.7
100459,Security,Medium,3.51,26,Small,0,4.3
100460,Hardware,High,1.06,24,Small,3,4.5
100461,Hardware,High,6.22,78,Small,2,3.5
100462,Database,Medium,,71,Small,3,3.5
100463,Hardware,Medium,,21,Small,1,2.6
100464,Security,Medium,6.92,31,Medium,3,4.1
100465,Security,Low,10.66,41,Medium,0,4.3
100466,Security,Medium,,38,Medium,0,4.7
100467,Network,High,10.71,20,Enterprise,1,3.7
100468,Security,Medium,,28,Medium,3,4.3
100469,Hardware,Medium,6.01,79,Small,2,3.6
100470,Software,Medium,8.32,38,Small,0,2.7
100471,Email,Critical,11.99,73,Medium,1,4.6
100472,Hardware,High,7.34,99,Medium,0,3.6
100473,Hardware,Low,4.83,63,Small,2,4.1
100474,Network,Critical,9.05,89,Small,0,4.8
100475,Hardware,High,,96,Small,0,4.1
100476,Hardware,Low,5.16,60,Small,0,2.6
100477,Email,Critical,10.05,84,Enterprise,0,4.4
100478,Email,Critical,8.61,99,Small,0,3.9
100479,Security,Low,7.34,83,Medium,2,4.3
100480,Network,Medium,6.35,90,Small,0,3.8
100481,Hardware,Low,3.82,50,Small,0,4.5
100482,Hardware,Medium,4.94,54,Small,3,3.0
100483,Database,Medium,4.11,77,Small,2,5.0
100484,Security,Medium,,70,Small,0,4.7
100485,Database,Low,0.98,62,Small,3,2.9
100486,Hardware,Medium,6.71,98,Medium,3,3.6
100487,Security,High,8.04,45,Small,0,4.6
100488,Email,Medium,,32,Small,0,4.0
100489,Security,High,9.59,69,Enterprise,2,2.6
100490,Security,Medium,5.91,37,Medium,1,4.0
100491,Email,Medium,9.89,53,Small,3,4.1
100492,Security,Medium,10.78,48,Small,1,3.7
100493,Hardware,Medium,6.71,71,Medium,0,2.8
100494,Software,Medium,4.26,93,Small,1,5.0
100495,Network,Critical,4.62,26,Enterprise,0,3.2
100496,Hardware,Low,2.26,48,Medium,0,2.8
100497,Email,Low,,63,Medium,2,3.6
100498,Hardware,Low,10.61,24,Medium,3,4.7
100499,Hardware,Medium,3.0,49,Small,2,3.5
100500,Database,Low,3.64,68,Medium,0,2.9
100501,Network,High,,63,Enterprise,3,5.0
100502,Hardware,High,10.67,43,Small,2,3.2
100503,Network,Low,4.89,85,Small,1,4.9
100504,Software,High,11.63,50,Small,1,3.9
100505,Database,Low,9.66,70,Medium,3,2.6
100506,Database,Low,6.0,82,Medium,2,4.8
100507,Software,Medium,11.37,91,Small,0,3.6
100508,Database,High,8.68,77,Small,2,4.5
100509,Hardware,Low,10.44,20,Enterprise,3,4.0
100510,Software,Low,,60,Small,1,3.2
100511,Email,Medium,,30,Small,1,3.1
100512,Network,Critical,,80,Small,3,4.3
100513,Hardware,Medium,5.88,52,Small,1,3.9
100514,Network,Low,,26,Medium,2,3.9
100515,Database,Medium,11.71,56,Medium,2,4.0
100516,Software,Low,8.99,77,Small,0,4.3
100517,Network,Low,2.64,40,Small,1,3.1
100518,Software,Low,6.51,53,Medium,0,4.7
100519,Database,High,,83,Small,1,3.7
100520,Security,Medium,5.41,96,Medium,3,2.7
100521,Software,Medium,6.71,28,Small,1,3.4
100522,Database,Medium,0.6,66,Enterprise,2,4.6
100523,Email,Medium,0.94,74,Medium,1,2.6
100524,Security,Low,10.9,95,Small,3,4.3
100525,Software,Low,0.69,36,Small,1,3.5
100526,Hardware,High,9.42,32,Small,0,4.9
100527,Email,Low,1.56,66,Small,0,2.7
100528,Software,Low,9.99,43,Small,3,4.9
100529,Database,High,8.42,21,Small,1,4.0
100530,Email,Medium,5.62,38,Small,2,3.0
100531,Database,Low,6.23,29,Small,0,4.7
100532,Network,Low,3.33,47,Small,1,4.1
100533,Software,Critical,,94,Small,2,3.3
100534,Email,Medium,,91,Small,1,2.7
100535,Network,Low,2.53,32,Small,3,4.3
100536,Hardware,Medium,6.14,64,Medium,2,4.6
100537,Database,Medium,1.28,22,Small,0,4.3
100538,Database,Low,6.64,85,Small,2,3.6
100539,Email,Low,,66,Small,2,4.2
100540,Email,Critical,10.7,80,Small,1,3.0
100541,Database,High,1.37,45,Enterprise,2,4.3
100542,Database,Low,11.83,37,Medium,0,4.6
100543,Software,Low,7.19,87,Enterprise,2,2.6
100544,Software,High,,57,Small,0,4.5
100545,Hardware,Low,7.19,70,Small,3,2.9
100546,Database,Medium,0.75,46,Medium,3,3.4
100547,Email,Low,8.34,96,Small,3,3.3
100548,Database,Medium,3.23,94,Small,0,2.8
100549,Hardware,Low,8.5,78,Small,2,3.7
100550,Database,Medium,7.84,82,Small,0,3.3
100551,Database,High,,38,Small,2,4.1
100552,Email,Critical,2.81,26,Small,0,2.7
100553,Software,High,10.5,35,Medium,1,2.8
100554,Software,High,4.6,48,Small,0,3.3
100555,Email,High,,87,Enterprise,0,2.9
100556,Database,Medium,3.27,96,Small,3,4.0
100557,Hardware,Low,11.0,51,Small,2,3.4
100558,Database,Medium,6.54,36,Small,1,4.7
100559,Database,Medium,10.18,49,Enterprise,0,4.5
